id,place,place_modified,tgn,coords
https://collections.ashmolean.org/collection/159810,First Process of Sepia Sketch of Leafage: Study from Ruskin's Photograph of the Courtyard of a late Gothic wooden House at Abbeville,France,tgn/7010587,"50.106602,1.832691"
https://www.harvardartmuseums.org/collections/object/298628,"Study of Portal and Carved Pinnacles, Cathedral of St. Lô, Normandy",Normandie,tgn/8711852,"49.133333,.216667"
https://collections.ashmolean.org/collection/141093,Mountain study: view of the Alps,Alps,tgn/7007746,"46.416667,10"
https://collections.ashmolean.org/collection/159362,Ivy-Leaved Toadflax ('Oxford Ivy'),Oxfordshire,tgn/7011931,"51.75,-1.25"
https://collections.ashmolean.org/collection/159600,"Study for Detail of the Market Place, Abbeville",France,tgn/7010587,"50.106602,1.832691"
https://collections.ashmolean.org/collection/159591,Evening in Autumn under the Castle of Habsburg,Habsburg,tgn/8703166,"47.462441,8.185123"
https://www.harvardartmuseums.org/collections/object/297456,"Study of an Archivolt in Saint Mark's, Venice",Venice,tgn/7018159,"45.438611,12.326667"
https://collections.ashmolean.org/collection/159590,"Afternoon in Spring, with south Wind, at Neuchâtel",Neuchâtel,tgn/7003751,"46.990867,6.797675"
https://collections.ashmolean.org/collection/159477,"Sketch of the Oak Spray in Mantegna's Fresco of 'The Martyrdom of Saint James' in the Church of the Eremitani, Padua",Padua,tgn/7003085,"45.416667,11.883333"
https://www.harvardartmuseums.org/collections/object/298668,Part of a Sketch of the Northwest Porch of St. Mark's,Venice,tgn/7018159,"45.438611,12.326667"
https://collections.ashmolean.org/collection/159660,"Study of the Marble Inlaying on the Front of the Casa Loredan, Venice",Venice,tgn/7018159,"45.438611,12.326667"
